Aelrik Pippin
Zephyris Quill
Nyxor Tazzy
Isolvar Mayvox
Thalor Zephy
Eirwin Calip
Seraphis Ankhie
Lyric Tazzie
Astaris Xolo
Velior Quetzie
Cressian Ysmie
Maevor Puffis
Xanthor Suppi
Drusian Neffie
Elunor Tlalli
Faelor Machie
Galador Intibee
Hesperis Anup
Irythor Qhap
Jyndor Serkie
Kaelis Micti
Lirion Tawpie
Myrvox Amarue
Nerys Ptahbelle
Ophir Huancie
Pyris Sekhie
Quindor Apocute
Rhaenor Viracue
Sylvar Coyette
Tindor Bastie
Ulric Pachie
Vaelor Khonsie
Wyllor Suppie
Xyris Mawkis
Ysmer Qoripuff
Zariel Intipie
Aethor Huaynie
Brontis Tlaltie
Calior Xipip
Dionis Ankhie
Eryndor Qetzie
Faerind Huascie
Gwynor Mancie
Halcion Tiahu
Idrith Yupie
Joriel Chaskie
Kivor Ollie
Lyssor Huayrie
Mirion Topie
Naevor Quillue
Olyndor Pachie
Phaedor Tumie
Qilvor Cusie
Rhianor Rimie
Saelor Urquie
Talindor Chimue
Uvanis Wiraqie
Vynor Titie
Wistor Yanie
Xalindor Qoyllie
Ylvor Huacie
Zynor Mawk
Aerith Tlallie
Bellor Xibie
Cythor Anqie
Delphor Qhapie
Elowen Tawtie
Fionor Intibee
Gwythor Supie
Helior Neithie
Ilior Qoripie
Jorvin Chimie
Kaelor Mictie
Luthien Tawpie
Maelor Qetzie
Nivor Huayrie
Orithor Apocie
Perynor Tumie
Qwynor Coyette
Rynell Intiqie
Aodhan Miroslav
Branislav Dante
Cillian Radko
Darragh Zoran
Eamon Velimir
Fionn Branko
Gareth Slavko
Hagan Dobry
Iarla Jaromir
Kieran Vuk
Lorcan Stanko
Mael Dusan
Niall Radoslav
Oisin Milos
Padrig Zdravko
Quinn Dragomir
Ronan Ljubo
Seamus Vlado
Tadhg Goran
Ultan Srecko
Aedan Bozidar
Brendan Jovan
Cian Darko
Declan Marko
Eoghan Nemanja
Finnian Stevo
Gavan Tomislav
Huwan Zlatko
Ivor Dragan
Keegan Predrag
Lughan Risto
Malachy Sasa
Naoise Tihomir
Oran Vojin
Phelan Zivojin
Quillan Branimir
Rory Dalibor
Senan Kresimir
Tomas Vedran
Uilliam Zvonko
Ailbe Dejan
Breasal Luka
Ciaran Matej
Daire Novak
Eoin Pavle
Fergal Roko
Glanis Srdjan
Hearn Vinko
Iain Zeljko
Kavan Zoran
Lirio Borna
Milo Davor
Nevin Gorazd
Olan Janko
Piero Kosta
Quinto Ljuban
Raffael Miodrag
Santino Niko
Tiziano Ranko
Umberto Stjepan
Alaric Tadija
Brizio Uros
Ciro Vjeko
Dino Zdenko
Enzo Andrija
Fabio Branko
Gian Dobroslav
Hugo Ivica
Italo Jadranko
Karlo Mladen
Aodhan Stormblade
Branislav Ironfist
Cillian Thunderstrike
Darragh Warhammer
Eamon Bloodfang
Fionn Skybreaker
Gareth Frostwolf
Hagan Steelspear
Iarla Firebrand
Kieran Stormhowl
Lorcan Ironclad
Mael Thunderbolt
Niall Warbringer
Oisin Flameheart
Padrig Stormfury
Quinn Ironshadow
Ronan Bladestorm
Seamus Thunderfist
Tadhg Warspike
Ultan Frostbane
Aedan Stormreaver
Brendan Ironwrath
Cian Thunderlord
Declan Warstrike
Eoghan Flamefury
Finnian Stormrider
Gavan Ironthorn
Huwan Frostcrusher
Ivor Warflame
Keegan Thunderclaw
Lughan Ironvalor
Malachy Stormcrusher
Naoise Warforge
Oran Flamebringer
Phelan Thunderstrike
Quillan Ironmight
Rory Stormvanguard
Senan Warhowl
Tomas Frostreaver
Uilliam Thunderblade
Ailbe Ironstorm
Breasal Warflame
Ciaran Thunderfury
Daire Stormbreaker
Eoin Ironfury
Fergal Warshadow
Glanis Froststrike
Hearn Thunderwrath
Iain Warspike
Kavan Stormfang
Lirio Ironflame
Milo Thunderforge
Nevin Warbringer
Olan Frosthowl
Piero Stormvalor
Quinto Ironstrike
Raffael Thunderfist
Santino Warblade
Tiziano Stormreaver
Umberto Ironclad
Alaric Thunderlord
Brizio Warhammer
Ciro Stormfury
Dino Ironshadow
Enzo Thunderstrike
Fabio Warflame
Gian Frostbane
Hugo Ironwrath
Italo Stormhowl
Karlo Thunderfury
Lino Warstrike
Matteo Ironvalor
Nero Stormcrusher
Orlando Thunderblade
Paolo Warspike
Quirino Ironfist
Renzo Stormreaver
Silvio Thunderclaw
Teo Warshadow
Ugo Froststrike
Aldo Ironstorm
Beppo Thunderfury
Cino Warflame
Dario Stormbreaker
Elio Ironfury
Franco Thunderstrike
Gino Warshadow
Ivo Frostreaver
Lauro Stormfist
Mario Thunderlord
Aurelio Warbringer
Baldassare Ironfury
Cesare Stormhowl
Domenico Thunderstrike
Emilio Warflame
Federico Ironshadow
Giorgio Frostbane
Ignazio Thunderfury
Leonardo Warstrike
Massimo Stormreaver
Lino Nebojsa
Matteo Ognjen
Nero Petar
Orlando Radovan
Paolo Slaven
Quirino Tomo
Renzo Vlatko
Silvio Zarko
Teo Branimir
Ugo Dalibor
Aldo Dejan
Beppo Luka
Cino Matej
Dario Novak
Elio Pavle
Franco Roko
Gino Srdjan
Ivo Vinko
Lauro Zeljko
Mario Zoran
Saphir Sekhmie
Tarynor Ptahie
Ulvor Qhapie
Vaelith Mawk
Wrenor Huancie
Xyndor Tlallie
Ysmer Qoribee
Zivor Suppie
Aelind Anubie
Brisor Qetzie
Calior Tiahette
Diomir Huay
Elthor Qhapie
Faelor Mancie
Glorian Intipie
Hecator Neffie
